ID,DESIGNATION,GLON,GLAT,ra,dec,DESIGNATION_70,F70,DF70,F70_TOT,DF70_TOT,F70_ADD,DF70_ADD,F70_ADD_TOT,DF70_ADD_TOT,ULIM_70,DESIGNATION_160,F160,DF160,F160_ADD,DF160_ADD,ULIM_160,DESIGNATION_250,F250,DF250,DESIGNATION_350,F350,DF350,FSC350,DFSC350,DESIGNATION_500,F500,DF500,FSC500,DFSC500,DESIGNATION_21,F21,DF21,F21_TOT,DF21_TOT,DESIGNATION_22,F22,DF22,F22_TOT,DF22_TOT,DESIGNATION_24,F24,DF24,F24_TOT,DF24_TOT,DESIGNATION_870,F870,DF870,DESIGNATION_1100,F1100,DF1100,DFWHM250,DIST,NEAR_DIST,FAR_DIST,DIST_FLAG,DIAM,M_LARS,FIT_TYPE,EVOL_FLAG,MASS,DMASS,TEMP,DTEMP,LAM_0_TK,L_BOL,LRATIO,T_BOL,SURF_DENS
4454,HIGALBM9.2545+1.0842,9.254488,1.084173,270.54295,-20.408795,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,-,0.0,0.0,1.266,0.178,0.0,HIGALPS009.2545+1.0841,4.852,0.61,HIGALPM009.2538+1.0848,3.755,0.305,2.963,0.241,HIGALPL009.2529+1.0855,1.703,0.17,1.156,0.115,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,34.38,0.0,0.0,0.0,-,0.0,0.0,Tn,1.0,-7.63,-1.86,10.84,0.48,0.0,-1.19,5.19,16.79,0.073
4455,HIGALBM9.2569-0.2825,9.256889,-0.282502,271.81796,-21.076705,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,HIGALPR009.2569-0.2826,3.454,0.457,0.0,0.0,0.0,HIGALPS009.2565-0.2824,11.413,1.094,HIGALPM009.2568-0.2833,6.738,0.672,6.738,0.672,HIGALPL009.2565-0.2815,10.814,0.742,4.936,0.339,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,25.14,0.0,0.0,0.0,-,0.0,0.0,Tk,1.0,-30.79,-6.4,10.31,0.42,70.3,-3.38,4.31,15.7,0.551
4456,HIGALBM9.2582-0.4725,9.258172,-0.472514,271.99662,-21.167985,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145,-,0.0,0.0,4.76,0.515,0.0,HIGALPS009.2582-0.4726,9.697,0.883,HIGALPM009.2580-0.4732,6.108,0.692,5.108,0.579,HIGALPL009.2584-0.4729,2.948,0.321,2.453,0.267,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.129,0.016,-,0.0,0.0,0.115,0.003,-,0.0,0.0,-,0.0,0.0,33.38,0.0,0.0,0.0,-,0.0,0.0,Tn,1.0,-10.36,-2.69,12.32,0.66,0.0,-3.49,7.7,19.08,0.105
4457,HIGALBM9.2604-0.2253,9.260426,-0.225272,271.76624,-21.045749,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,HIGALPR009.2605-0.2254,1.229,0.207,0.0,0.0,0.0,HIGALPS009.2594-0.2255,8.061,0.786,HIGALPM009.2590-0.2255,4.141,0.463,4.141,0.463,HIGALPL009.2589-0.2274,5.217,0.834,2.708,0.433,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,27.42,0.0,0.0,0.0,-,0.0,0.0,Tk,1.0,-25.06,-7.33,9.47,0.42,58.2,-1.69,3.49,14.53,0.377
4458,HIGALBM9.2626-0.1134,9.262623,-0.113445,271.66278,-20.989332,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,-,0.0,0.0,2.917,0.361,0.0,HIGALPS009.2627-0.1135,30.386,4.747,HIGALPM009.2642-0.1173,10.795,1.711,10.795,1.711,HIGALPL009.2661-0.1144,5.831,0.892,5.246,0.803,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,40.76,0.0,0.0,0.0,-,0.0,0.0,Tk,1.0,-50.04,-18.92,9.48,0.42,55.3,-3.41,3.51,14.56,0.341
4459,HIGALBM9.2673+0.3530,9.26734,0.352992,271.22975,-20.757218,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,HIGALPR009.2674+0.3529,1.107,0.114,0.0,0.0,0.0,HIGALPS009.2669+0.3527,2.89,0.316,HIGALPM009.2668+0.3532,1.82,0.223,1.521,0.186,HIGALPL009.2661+0.3552,3.295,0.376,1.129,0.129,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.017,0.002,-,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,20.77,0.0,0.0,0.0,-,0.0,0.0,Tn,1.0,-5.56,-1.71,10.9,0.54,0.0,-0.9,5.32,16.89,0.146
4460,HIGALBM9.2687+0.1344,9.268735,0.134374,271.43443,-20.862999,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,HIGALPR009.2688+0.1343,4.518,0.395,0.0,0.0,0.0,HIGALPS009.2669+0.1326,8.659,0.537,HIGALPM009.2669+0.1328,2.456,0.292,2.456,0.292,HIGALPL009.2695+0.1351,6.471,3.668,2.32,1.315,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,21.04,0.0,0.0,0.0,-,0.0,0.0,Tn,1.0,-4.24,-1.3,14.1,0.85,0.0,-3.21,11.93,21.84,0.108
4461,HIGALBM9.2760+0.0618,9.276,0.061808,271.50599,-20.892122,HIGALPB009.2761+0.0617,5.289,0.322,5.289,0.322,0.0,0.0,0.0,0.0,0.0,HIGALPR009.2764+0.0619,9.228,0.171,0.0,0.0,0.0,HIGALPS009.2761+0.0622,12.592,0.411,HIGALPM009.2769+0.0622,7.276,0.218,4.856,0.145,HIGALPL009.2776+0.0625,4.902,0.313,2.026,0.129,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.066,0.002,MG009.2759+00.0616,0.147,0.003,0.147,0.003,-,0.0,0.0,-,0.0,0.0,11.23,0.0,0.0,0.0,-,0.0,0.0,Tk,2.0,-5.08,-0.43,15.36,0.24,64.0,-15.83,40.07,40.63,0.456
4462,HIGALBM9.2767+0.6701,9.27672,0.670128,270.93933,-20.593407,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,HIGALPR009.2768+0.6700,1.823,0.384,0.0,0.0,0.0,HIGALPS009.2762+0.6708,4.086,0.349,HIGALPM009.2768+0.6712,2.733,0.284,2.029,0.211,HIGALPL009.2774+0.6715,1.809,0.166,1.041,0.095,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.039,0.002,-,0.0,0.0,0.004,0.0,-,0.0,0.0,-,0.0,0.0,30.34,0.0,0.0,0.0,-,0.0,0.0,Tn,1.0,-3.88,-1.13,12.68,0.85,0.0,-1.55,8.39,19.64,0.048
4463,HIGALBM9.2793-1.1648,9.27933,-1.164807,272.65796,-21.484523,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,HIGALPR009.2794-1.1649,2.384,0.202,0.0,0.0,0.0,HIGALPS009.2798-1.1639,2.113,0.197,HIGALPM009.2804-1.1635,1.609,0.132,1.015,0.083,HIGALPL009.2845-1.1621,0.731,0.318,0.272,0.118,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,10.8,0.0,0.0,0.0,-,0.0,0.0,Tn,1.0,-0.78,-0.24,16.64,1.27,0.0,-1.6,21.32,25.78,0.076
4464,HIGALBM9.2795-0.5295,9.279518,-0.529471,272.06113,-21.176986,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,HIGALPR009.2796-0.5296,1.629,0.112,0.0,0.0,0.0,HIGALPS009.2796-0.5298,4.96,0.426,HIGALPM009.2793-0.5310,4.24,0.475,2.877,0.322,HIGALPL009.2798-0.5317,3.361,0.26,1.655,0.128,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,21.11,0.0,0.0,0.0,-,0.0,0.0,Tn,1.0,-10.27,-2.02,10.61,0.3,0.0,-1.41,4.92,16.43,0.261
4465,HIGALBM9.2802+0.0024,9.280168,0.002384,271.56368,-20.917504,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,-,0.0,0.0,3.181,0.383,0.0,HIGALPS009.2802+0.0023,9.891,0.802,HIGALPM009.2807+0.0027,5.14,0.508,4.948,0.489,HIGALPL009.2789+0.0035,1.609,0.259,1.609,0.259,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,27.86,0.0,0.0,0.0,-,0.0,0.0,Tn,1.0,-9.88,-2.6,11.91,0.54,0.0,-2.71,6.85,18.44,0.144
4466,HIGALBM9.2827-0.1502,9.282706,-0.150212,271.70765,-20.989721,HIGALPB009.2828-0.1503,1.193,0.078,1.193,0.078,0.0,0.0,0.0,0.0,0.0,HIGALPR009.2829-0.1505,4.559,0.143,0.0,0.0,0.0,HIGALPS009.2821-0.1497,23.771,1.971,HIGALPM009.2826-0.1487,31.792,1.819,20.138,1.152,HIGALPL009.2823-0.1483,33.443,1.701,13.565,0.69,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,MG009.2826-00.1506,0.018,0.002,0.035,0.003,CuTEx,2.816,0.563,BGPSv2_G009.282-00.148,0.0,0.0,21.09,0.0,0.0,0.0,-,0.0,0.0,Tk,2.0,-127.99,-2.0,9.37,0.07,170.9,-10.09,4.5,23.27,3.256
4467,HIGALBM9.2845-0.2159,9.284522,-0.215884,271.77003,-21.020132,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,HIGALPR009.2846-0.2160,7.313,0.803,0.0,0.0,0.0,HIGALPS009.2841-0.2162,13.098,1.114,HIGALPM009.2839-0.2169,8.302,0.904,7.167,0.78,HIGALPL009.2843-0.2155,2.833,0.524,2.473,0.457,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.002,0.0,-,0.0,0.0,-,0.0,0.0,31.84,0.0,0.0,0.0,-,0.0,0.0,Tn,1.0,-11.13,-3.48,13.04,0.78,0.0,-5.28,9.25,20.2,0.124
4468,HIGALBM9.2873-1.1400,9.287294,-1.139976,272.63871,-21.465574,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,HIGALPR009.2873-1.1401,3.272,0.241,0.0,0.0,0.0,HIGALPS009.2864-1.1388,6.622,0.579,HIGALPM009.2862-1.1397,2.482,0.12,2.482,0.12,HIGALPL009.2866-1.1390,0.704,0.036,0.704,0.036,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,32.62,0.0,0.0,0.0,-,0.0,0.0,Tn,0.0,-1.94,-0.24,15.23,0.54,0.0,-2.33,15.65,23.58,0.021
4469,HIGALBM9.2879-0.8297,9.287851,-0.829663,272.34719,-21.315188,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,HIGALPR009.2879-0.8298,2.989,0.551,0.0,0.0,0.0,HIGALPS009.2891-0.8304,17.71,3.567,HIGALPM009.2900-0.8301,15.294,1.025,15.17,1.017,HIGALPL009.2920-0.8354,14.286,0.974,8.824,0.602,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.071,0.003,-,0.0,0.0,0.327,0.004,-,0.0,0.0,-,0.0,0.0,35.77,0.0,0.0,0.0,-,0.0,0.0,Tk,1.0,-92.67,-21.95,9.06,0.36,85.8,-4.66,3.06,13.77,0.82
