RAh,RAm,RAs,e_RAs,DEd,DEm,DEs,eDEs,GLON,GLAT,Si,e_Si,Pk,e_Pk,m,e_m,RM,e_RM
0,0,2.87,0.03,9,57,6.6,0.6,102.62,-50.882,301.4,10.6,10.72,0.28,3.85,0.1,-7.7,4.9
0,0,8.22,0.12,75,40,11.9,0.6,119.6979,13.1213,139.3,4.2,6.97,0.28,5.08,0.2,15.4,9
0,0,9.21,0.04,25,26,20.1,0.6,108.5905,-36.0006,59.5,2.2,4.02,0.27,7.82,0.53,-59,14.7
0,0,10.1,0.04,30,55,59.5,0.6,110.1511,-30.663,88.2,2.7,5.55,0.29,6.51,0.34,-37.9,11
0,0,12.2,0.04,29,11,14.4,0.6,109.6856,-32.3632,83.4,2.9,3.7,0.27,5.25,0.38,-87,15.1
0,0,12.35,0.05,7,12,47,0.8,101.2392,-53.4871,29,1.2,3.2,0.27,12.12,1.02,-28.3,18.1
0,0,17.06,0.05,-34,10,28.9,0.7,-2.8588,-76.9522,124.6,4.5,6.53,0.27,7.9,0.33,-5,9.2
0,0,19.87,0.12,55,39,59,1.1,115.7202,-6.4882,15.4,0.6,4.57,0.34,2.03,0.15,-47.8,18.3
0,0,20.45,0.05,55,39,8.6,0.6,115.7188,-6.5021,1517.8,52.9,17.18,0.38,1.29,0.03,-51.8,4.6
0,0,23.96,0.04,12,29,50.7,0.7,103.9472,-48.484,111.3,3.7,4.35,0.28,6.44,0.41,-23.9,14.2
0,0,24.14,0.06,62,15,6.4,0.6,117.0301,-0.0338,323.4,11.4,11.8,0.33,4.08,0.11,-262.1,7.4
0,0,25.19,0.04,-38,23,0.7,0.6,-16.7594,-74.4834,177.4,6.9,6.11,0.31,3.95,0.2,8.2,11.5
0,0,26.35,0.04,33,39,3.1,0.6,110.9197,-28.0285,59.5,2.2,7.32,0.28,13.86,0.53,-71.3,7.6
0,0,27.38,0.04,20,35,53.1,0.6,107.124,-40.7036,90.7,3.1,6.34,0.26,8.63,0.35,-20,9.1
0,0,30.12,0.03,-11,21,19.4,0.6,83.2884,-70.2008,80.9,2.9,4.95,0.28,6.77,0.38,6.4,12.4
0,0,32.59,0.06,60,20,50.3,0.6,116.6727,-1.9045,374.1,13.2,7.4,0.41,2.08,0.12,-160.7,11.8
0,0,36.72,0.03,-7,21,54,0.6,89.2294,-66.8504,83.2,2.9,4.53,0.35,6.34,0.49,25.2,13.9
0,0,37.01,0.04,12,12,26.6,0.9,103.8938,-48.7767,133.7,4.7,13.23,0.54,21.6,0.88,-0.1,8.8
0,0,37.4,0.1,-37,42,35.8,1.3,-14.9575,-74.963,27.6,1.7,6.08,0.43,27.62,1.95,-27,15.9
